Address,Balance
0xf1a48cca5fa9f4f090f3e3d007d24223bbb834eb,35368.50
0x0a25bc1f7932e43d4c328c6c96c23a460417e075,35301.25
0x0d6cb5bce37ecb923290bab7c63885dd35c07526,35181.20
0x3c7904abdfd5974397b6f818e95e50370fc5ac81,35088.24
0x1cbdd531cb0356510dae7ae1e673d4cffce3f63e,34677.41
0xcE9EE0D5E51f9cA48899531105b0f887eAD8902D,33816.00
0xba5ad25dbfc0090a0b927a7e6e51745ebf663c13,33381.10
0xbcc181046fd96ccadf0cebe30d4ff67d4373a126,32310.75
0x2dae14df2b09980d18e937166b427819b9e2ac0c,31642.99
0x657dd0c36cab330d5df1bd45d327d0e6c3f7e2d5,31430.81
0xdaf93a6a56aec45f7b23aebd531177cc531133ef,30402.29
0x47d6cb2644094b566ae57b907a98511d8a23f9e8,30389.31
0x549c5da43c0e9bb4f5bbc15321ed290d518541d4,30354.67
0xaf65c100ffeba4bc89f0d801d7662c5a6238b481,30230.77
0x8a087b991c66699d8fefaae8469e13d4a6227648,30060.02
0x42f2d5c7fdab13a5d740fbebcc66d227fb993d81,29988.15
0x75411e700fc59cdf7508df630524981575000d7d,29908.22
0x5db1ceebbd03d85b1439400853144eafc459632b,29298.47
0x5794201b0b8a166c9f47a12ebd4624932455a645,28962.82
0xbd035e63430e5a181941da38f5f1672f890dedf5,27417.38
0xaf7b7abc272a3ae6dd6da41b9832c758477a85f2,27136.79
0x3f6b92123d629a6c22ca5e97a03f549a1705e340,27092.16
0x1778da84a0580e6ee14a31f2255ca55ebe5b4094,26950.68
0xf3a8f29ac7e30be74ab2bce0f2d537b1a86dc76d,26921.46
0x58a7ccd4bc5d561b89606909456f23bbfc9aaade,25901.79
0xed25349bcaceed093763b89551dde12cb1a50a75,25600.39
0x67023130eaab2969e26e5a25e2abf901c01bcda0,25251.38
0x1310765883b484780a31ea303ad54da2d58dd6ad,25190.82
0x367f767f8d30f36c399ccc065f172f521d713d1a,25035.17
0xa042bB192a540A107b5f7d4a356ea06Db12113bD,24897.00
0xebb6bfe50f4abfb1ca1b9019955eae258f45d060,24624.04
0x53f1dc04587af2f5f36e0d4b49c9ab547804c479,24619.43
0x72514ef8e3240739ff273b6a5b6a67f524c760cc,23926.32
0x4ed2afde703266f7af6d20ccf7ceabd85f94adf3,23820.83
0x9ec1e8f722a72886f28d07df5108adfdb5765497,23573.11
0x1c097a37e652051bbf3d7a05ad11760242050712,23498.91
0xffb40e0ee24e46ca854e385e3099443f52fda948,23493.93
0xd2276d87a3854ea6f4adc82c25e1f1ecb4e23f84,23383.94
0xfe6524ac5f0c01132785e56d518b77e89184a6ff,23254.41
0x34fd1b8dcc9588716634ff7060c0cee04ab5d508,22540.80
0xe3b96cdb3d5635dd6fbe19cea6463c344db9228f,22151.11
0x053172febe1c416dd382041a9aab50fc7bcdea1c,22098.70
0xbcf4edc70977b8711d52bc3fe85ebef46365b4fb,22000.06
0x60d189b41950ee32b1bcca72d5729df65b91f062,21906.45
0x2187d1c03c8d9aa8d9416c6ce8d76df94ed160be,21676.21
0x5475f42318884ed62be92b08058845c31c1979f4,21454.99
0x36efd9914d30b16575429516bfff0f196062dce9,20852.99
0xa4dda080e000478eb51c5a9e1122f98ca76ebd8e,20514.15
0x7a6e41ea4edced41207660e6c0f16345cdd6150a,20440.97
0xd663a6a93427c0ffaf8f234b4231a2dd41d1c762,20122.63
0x75beaf1de039699e6535315f2da4287254b68fd0,20076.05
0xa7f73316e620382ddbb7bce83459772ebcd00fa3,19964.12
0x11d4e764c879525ad06735acced286e3aee726ce,19710.25
0xb9d6321cdb0cc83648d7770d600e70c5b847969c,19707.79
0x7bc8c0b66d7f0e2193ed11eecaafe7c1837b926f,19701.13
0xd9116827b463ab5886262a6b705c858dcb75a32a,19694.55
0x09fa38eba245bb68354b8950fa2fe71f02863393,19685.67
0x25cb49a7bd9baa4b42ac0b5f7445692b58ced661,19379.72
0xd39103d13e3e44a000ecdbe64732f037d0e7d294,19120.90
